Country,Year,Undernourishment,ChildWasting,ChildStunting,ChildMortality,GHI_Score
Congo (Republic of),2025,26.4,6.9,16.3,4.1,22.6
Costa Rica,2025,1.25,1.0,10.6,1.0,2.5
Côte d'Ivoire,2025,11.1,8.1,20.3,6.7,20.4
Croatia,2025,1.25,0.9,2.700000047683716,0.5,2.5
Dem. Rep. of the Congo,2025,38.5,7.2,44.1,7.3,37.5
Djibouti,2025,12.9,12.1,20.9,5.0,21.9
Dominican Republic,2025,3.6,1.1,5.6,3.1,6.4
Ecuador,2025,12.1,0.7,17.7,1.3,10.9
Egypt,2025,9.4,3.3,12.9,1.8,10.5
El Salvador,2025,6.7,2.9,9.4,1.0,7.6
Estonia,2025,1.25,1.6,1.3,0.2,2.5
Eswatini,2025,14.7,1.8,18.9,4.5,15.9
Ethiopia,2025,19.7,6.0,35.5,4.6,24.4
Fiji,2025,6.8,4.6,7.2,2.9,9.9
Gabon,2025,25.3,3.4,13.7,3.3,18.8
Gambia,2025,16.8,5.1,14.0,4.4,17.3
Georgia,2025,1.25,0.6,4.7,0.9,2.5
Ghana,2025,6.3,5.8,15.6,3.7,13.1
Guatemala,2025,11.8,0.8,44.6,2.1,18.0
Guinea,2025,11.4,6.4,26.6,9.5,23.7
Guinea-Bissau,2025,22.1,5.1,28.3,6.9,25.4
Guyana,2025,1.25,6.5,7.1,2.6,8.3
Haiti,2025,54.2,5.0,21.6,5.5,35.7
Honduras,2025,14.8,1.1,17.9,1.6,12.5
Hungary,2025,1.25,0.8,2.0999999046325684,0.4,2.5
India,2025,12.0,18.7,32.9,2.8,25.8
Indonesia,2025,6.3,8.4,22.6,2.1,14.6
Iran (Islamic Republic of),2025,6.8,4.2,4.8,1.2,7.4
Iraq,2025,14.9,3.9,9.4,2.3,12.8
Jamaica,2025,7.7,2.4,6.9,1.9,8.0
Jordan,2025,14.3,2.3,7.7,1.3,10.3
Kazakhstan,2025,1.25,2.6,4.4,1.0,2.5
Kenya,2025,36.8,4.5,17.9,4.0,25.9
Kuwait,2025,1.25,3.5,4.5,0.9,2.5
Kyrgyzstan,2025,5.1,3.0,11.0,1.7,8.0
Latvia,2025,1.25,1.7,1.7,0.3,2.5
Lebanon,2025,8.7,1.3,10.1,1.8,8.5
Liberia,2025,35.5,3.4,26.9,7.3,30.0
Libya,2025,16.5,3.5,9.2,3.1,13.9
Lithuania,2025,1.25,4.0,1.6,0.3,2.5
Madagascar,2025,39.5,7.2,38.4,6.5,35.8
Malawi,2025,21.4,2.8,33.2,3.8,22.0
Malaysia,2025,1.25,11.0,24.3,0.8,13.6
Mali,2025,12.3,5.4,23.2,9.1,22.3
Mauritania,2025,8.7,13.6,21.5,3.8,19.9
Mauritius,2025,8.7,11.6,7.8,1.5,13.4
Mexico,2025,2.7,1.0,13.1,1.2,6.0
Mongolia,2025,1.25,2.7,7.1,1.4,5.1
Montenegro,2025,1.25,2.9,8.0,0.3,2.5
Morocco,2025,7.0,2.7,13.7,1.7,9.3
Mozambique,2025,21.8,3.8,37.0,6.2,25.9
Myanmar,2025,5.4,6.3,24.5,3.9,15.3
Namibia,2025,18.1,6.4,16.4,4.1,18.9
Nepal,2025,5.3,7.0,26.0,2.6,14.8
Niger,2025,12.9,10.9,48.3,11.5,33.9
Nigeria,2025,19.9,11.6,33.8,10.5,32.8
North Macedonia,2025,1.25,2.1,3.8,0.3,2.5
Oman,2025,5.9,6.7,12.9,1.0,10.2
Pakistan,2025,16.5,10.0,33.6,5.8,26.0
Panama,2025,5.7,1.0,14.0,1.3,7.5
Papua New Guinea,2025,28.7,6.9,47.6,4.0,31.0
Paraguay,2025,5.2,1.2,3.2,1.7,5.2
Peru,2025,6.9,0.6,10.6,1.6,7.2
Philippines,2025,3.0,5.4,27.7,2.7,13.4
Romania,2025,1.25,3.3,7.0,0.7,2.5
Russian Federation,2025,1.25,2.9,10.199999809265137,0.4,2.5
Rwanda,2025,24.4,1.1,29.8,4.0,21.7
